epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,208,,,,0.692804217338562,0.7835705876350403,0.5627421736717224
0,208,0.7757166624069214,0.7945601344108582,0.637857973575592,,,
1,417,,,,0.7405674457550049,0.8121013641357422,0.6119605302810669
1,417,0.8216943144798279,0.833915650844574,0.7003864645957947,,,
2,626,,,,0.7879649996757507,0.8278335928916931,0.6615892052650452
2,626,0.8414302468299866,0.849856972694397,0.7288788557052612,,,
3,835,,,,0.7874439358711243,0.8352603912353516,0.6633703708648682
3,835,0.856302797794342,0.8604587316513062,0.7510964870452881,,,
4,1044,,,,0.8062354326248169,0.8449755311012268,0.6854735016822815
4,1044,0.8658573031425476,0.8689287304878235,0.7656557559967041,,,
5,1253,,,,0.7699533104896545,0.8471802473068237,0.6553322672843933
5,1253,0.8749971985816956,0.8753387928009033,0.780026912689209,,,
6,1462,,,,0.7756691575050354,0.847851037979126,0.6603541374206543
6,1462,0.880922794342041,0.8811235427856445,0.7892497777938843,,,
7,1671,,,,0.7978849411010742,0.8566315174102783,0.6828843355178833
7,1671,0.8871057629585266,0.8856567740440369,0.7992327213287354,,,
8,1880,,,,0.8062509894371033,0.8579495549201965,0.6919475197792053
8,1880,0.8922494649887085,0.890264630317688,0.8075332641601562,,,
9,2089,,,,0.8055750727653503,0.8617634773254395,0.6918197870254517
9,2089,0.8953671455383301,0.8931261897087097,0.8125801682472229,,,
10,2298,,,,0.7957904934883118,0.8649166226387024,0.6853435635566711
10,2298,0.8986884355545044,0.8960937261581421,0.817990779876709,,,
11,2507,,,,0.811225414276123,0.8682826161384583,0.7011356353759766
11,2507,0.9017061591148376,0.8987018465995789,0.8229432106018066,,,
12,2716,,,,0.8006078600883484,0.8719144463539124,0.6936015486717224
12,2716,0.9038488864898682,0.9008548259735107,0.8264109492301941,,,
13,2925,,,,0.7857575416564941,0.8720255494117737,0.6860990524291992
13,2925,0.9064542651176453,0.9029864072799683,0.8307709693908691,,,
14,3134,,,,0.8136147856712341,0.8743999600410461,0.708632230758667
14,3134,0.9079870581626892,0.9042714834213257,0.8333361148834229,,,
15,3343,,,,0.8015145063400269,0.8767801523208618,0.6975507736206055
15,3343,0.909339189529419,0.9055813550949097,0.8355796337127686,,,
16,3552,,,,0.8114773631095886,0.8786123394966125,0.7086604237556458
16,3552,0.9104037284851074,0.906490683555603,0.8373644948005676,,,
17,3761,,,,0.8093665242195129,0.8757702112197876,0.7049887180328369
17,3761,0.9104987382888794,0.9068662524223328,0.8374514579772949,,,
18,3970,,,,0.8122023344039917,0.8799529671669006,0.7085695266723633
18,3970,0.9112951159477234,0.9074097871780396,0.8388132452964783,,,
19,4179,,,,0.799156129360199,0.8775937557220459,0.6975411176681519
19,4179,0.9115248918533325,0.9074224233627319,0.8392358422279358,,,
