epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
18,16358,0.9104030132293701,0.919315755367279,0.8388246893882751,,,
19,17219,,,,0.9109290242195129,0.9286641478538513,0.8385103940963745
19,17219,0.9124009609222412,0.9209126830101013,0.8419464826583862,,,
20,18080,,,,0.8966001868247986,0.9264867901802063,0.8170678615570068
20,18080,0.9139722585678101,0.9222366809844971,0.8445976376533508,,,
21,18941,,,,0.9121872782707214,0.9317567348480225,0.8407941460609436
21,18941,0.9161397218704224,0.9242334961891174,0.8481711745262146,,,
22,19802,,,,0.9182964563369751,0.9314660429954529,0.8506160378456116
22,19802,0.9162418246269226,0.9247663617134094,0.848486602306366,,,
23,20663,,,,0.9042152166366577,0.9289664626121521,0.8284386992454529
23,20663,0.919176459312439,0.9271146655082703,0.8532836437225342,,,
24,21524,,,,0.9184481501579285,0.9323947429656982,0.8508478999137878
24,21524,0.919176459312439,0.9275956153869629,0.8534082174301147,,,
25,22385,,,,0.9097733497619629,0.9340211749076843,0.8376155495643616
25,22385,0.9208666086196899,0.9286027550697327,0.8561912775039673,,,
26,23246,,,,0.9237971901893616,0.935535728931427,0.8599058389663696
26,23246,0.9217353463172913,0.9299681782722473,0.8577560186386108,,,
27,24107,,,,0.9187482595443726,0.9366387724876404,0.8516691327095032
27,24107,0.9233182668685913,0.931223452091217,0.8602657914161682,,,
28,24968,,,,0.9225752949714661,0.9369896650314331,0.8578863143920898
28,24968,0.9240817427635193,0.9317902326583862,0.8614972829818726,,,
29,25829,,,,0.9208624958992004,0.9377970695495605,0.8551533222198486
29,25829,0.9250038266181946,0.9328777194023132,0.8631771802902222,,,
30,26690,,,,0.9235921502113342,0.9387548565864563,0.8596460223197937
30,26690,0.9258798360824585,0.9333885908126831,0.8646136522293091,,,
31,27551,,,,0.9239677786827087,0.9387033581733704,0.8602443933486938
31,27551,0.9275590777397156,0.9348751306533813,0.8676210641860962,,,
32,28412,,,,0.9225605130195618,0.9384578466415405,0.8579427003860474
32,28412,0.9270660877227783,0.9346084594726562,0.8666167259216309,,,
33,29273,,,,0.9274118542671204,0.9395186305046082,0.866046130657196
33,29273,0.9271717667579651,0.9346486330032349,0.8668658137321472,,,
34,30134,,,,0.9238855242729187,0.9395390152931213,0.8601989150047302
34,30134,0.9285362958908081,0.9358472228050232,0.8691330552101135,,,
35,30995,,,,0.9249838590621948,0.9397082328796387,0.8620049953460693
35,30995,0.928274929523468,0.9353999495506287,0.8686923980712891,,,
36,31856,,,,0.9254710078239441,0.9397063851356506,0.8628169298171997
36,31856,0.928826630115509,0.9360236525535583,0.8696003556251526,,,
37,32717,,,,0.9250476360321045,0.9402045607566833,0.8621400594711304
37,32717,0.928974449634552,0.9361527562141418,0.8699051141738892,,,
38,33578,,,,0.9268231391906738,0.9403185248374939,0.8650776147842407
38,33578,0.9283046722412109,0.9353179931640625,0.8686957359313965,,,
39,34439,,,,0.9278839826583862,0.9400620460510254,0.866872251033783
39,34439,0.9285768866539001,0.9361257553100586,0.8691626191139221,,,
