epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,208,,,,0.7606237530708313,0.7850292921066284,0.6196401715278625
0,208,0.7707863450050354,0.7901662588119507,0.631473958492279,,,
1,417,,,,0.7808711528778076,0.8032646179199219,0.6466725468635559
1,417,0.8183834552764893,0.8308748006820679,0.6956773996353149,,,
2,626,,,,0.7697201371192932,0.8153240084648132,0.6373592019081116
2,626,0.8370785713195801,0.8459724187850952,0.7225532531738281,,,
3,835,,,,0.813429057598114,0.8343254327774048,0.6898053884506226
3,835,0.854033887386322,0.8580028414726257,0.7477641105651855,,,
4,1044,,,,0.7770947813987732,0.8338159322738647,0.6535608172416687
4,1044,0.863866925239563,0.8655921220779419,0.762735903263092,,,
5,1253,,,,0.8087099194526672,0.862500011920929,0.6947687268257141
5,1253,0.8705916404724121,0.8720227479934692,0.7731223702430725,,,
6,1462,,,,0.7892764806747437,0.8521941900253296,0.6732304096221924
6,1462,0.8797616362571716,0.8788079619407654,0.7875874638557434,,,
7,1671,,,,0.7921105027198792,0.8527135252952576,0.6746283769607544
7,1671,0.885156512260437,0.8834126591682434,0.796209990978241,,,
8,1880,,,,0.8193565011024475,0.8561504483222961,0.7039879560470581
8,1880,0.8896389603614807,0.887705385684967,0.8033312559127808,,,
9,2089,,,,0.8097580075263977,0.8698586821556091,0.6999868154525757
9,2089,0.8927668929100037,0.8906051516532898,0.8083438277244568,,,
10,2298,,,,0.8526127934455872,0.8644729256629944,0.7463900446891785
10,2298,0.8956810235977173,0.8938793540000916,0.8130149245262146,,,
11,2507,,,,0.8203494548797607,0.8725450038909912,0.7120431065559387
11,2507,0.8995355367660522,0.8967353105545044,0.8193936944007874,,,
12,2716,,,,0.8213085532188416,0.8749569654464722,0.7137836217880249
12,2716,0.9023275375366211,0.8990297317504883,0.8240004777908325,,,
13,2925,,,,0.7831735014915466,0.8705487847328186,0.681298017501831
13,2925,0.9037662744522095,0.9007866978645325,0.8262808322906494,,,
14,3134,,,,0.8355975151062012,0.8699524998664856,0.729288637638092
14,3134,0.9055436253547668,0.9023052453994751,0.8292343020439148,,,
15,3343,,,,0.8046097159385681,0.8778626918792725,0.7003738880157471
15,3343,0.9072703719139099,0.9036200642585754,0.8321354389190674,,,
16,3552,,,,0.8090745210647583,0.883014976978302,0.7085970044136047
16,3552,0.9090030193328857,0.9050889015197754,0.8350366353988647,,,
17,3761,,,,0.8098284602165222,0.8739743828773499,0.7057074904441833
17,3761,0.909124493598938,0.9051303863525391,0.8352537155151367,,,
