epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,836,,,,0.7205976843833923,0.767243504524231,0.5728805065155029
0,836,0.6516792178153992,0.7219529747962952,0.42712947726249695,,,
1,1673,,,,0.7032203078269958,0.7814860343933105,0.5667300224304199
1,1673,0.7570116519927979,0.787166178226471,0.6148088574409485,,,
2,2510,,,,0.796260416507721,0.8060438632965088,0.6652712225914001
2,2510,0.7920489311218262,0.8127924799919128,0.6600302457809448,,,
3,3347,,,,0.7784683108329773,0.8127446174621582,0.6473449468612671
3,3347,0.8142668008804321,0.8314101696014404,0.6902465224266052,,,
4,4184,,,,0.7822926044464111,0.8256038427352905,0.652463972568512
4,4184,0.8261293172836304,0.8410306572914124,0.7068173289299011,,,
5,5021,,,,0.8187483549118042,0.8330603837966919,0.6999139785766602
5,5021,0.8393416404724121,0.8520443439483643,0.7258783578872681,,,
6,5858,,,,0.7825469970703125,0.8340899348258972,0.6617060899734497
6,5858,0.8459146022796631,0.8597576022148132,0.7356370687484741,,,
7,6695,,,,0.8497170209884644,0.853603720664978,0.7412654757499695
7,6695,0.8594764471054077,0.8678653240203857,0.7557842135429382,,,
8,7532,,,,0.8385375142097473,0.846055805683136,0.7281176447868347
8,7532,0.8666558265686035,0.8744248747825623,0.7667578458786011,,,
9,8369,,,,0.8286595344543457,0.8526910543441772,0.714712917804718
9,8369,0.8722134828567505,0.8789674639701843,0.7753023505210876,,,
10,9206,,,,0.786148190498352,0.8564573526382446,0.6739110350608826
10,9206,0.8773117065429688,0.8815973401069641,0.7833463549613953,,,
11,10043,,,,0.8510728478431702,0.8589404225349426,0.7450685501098633
11,10043,0.8832201361656189,0.8864634037017822,0.7926368117332458,,,
12,10880,,,,0.8293288946151733,0.8620217442512512,0.7205066680908203
12,10880,0.8877169489860535,0.8894318342208862,0.7998627424240112,,,
13,11717,,,,0.7814208269119263,0.8847530484199524,0.6933709383010864
13,11717,0.8890167474746704,0.8928182125091553,0.8018302321434021,,,
14,12554,,,,0.8216419219970703,0.86998051404953,0.7142814993858337
14,12554,0.8960524797439575,0.89704829454422,0.8133223652839661,,,
15,13391,,,,0.8650674819946289,0.8729966282844543,0.7678225040435791
15,13391,0.8982467651367188,0.8995295763015747,0.8168547749519348,,,
16,14228,,,,0.8327978253364563,0.8747841715812683,0.7283763885498047
16,14228,0.900194525718689,0.9011293649673462,0.8200702667236328,,,
17,15065,,,,0.884125828742981,0.8762022256851196,0.796652615070343
17,15065,0.9033703804016113,0.9040346741676331,0.8253077864646912,,,
18,15902,,,,0.7790374159812927,0.8855878114700317,0.6940346956253052
