epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,208,,,,0.7568291425704956,0.7834104299545288,0.6151623129844666
0,208,0.7715672254562378,0.7916409969329834,0.6324335336685181,,,
1,417,,,,0.7922701239585876,0.8126261830329895,0.6610162258148193
1,417,0.8185017704963684,0.8310959935188293,0.6958259344100952,,,
2,626,,,,0.8034497499465942,0.8199850916862488,0.6765655279159546
2,626,0.8415787220001221,0.8487542867660522,0.7290827631950378,,,
3,835,,,,0.7841928601264954,0.8266335129737854,0.6551517844200134
3,835,0.8531111478805542,0.8581198453903198,0.7462341785430908,,,
4,1044,,,,0.8174826502799988,0.836472749710083,0.6964343190193176
4,1044,0.866753339767456,0.8673990368843079,0.7672830820083618,,,
5,1253,,,,0.785110592842102,0.85114985704422,0.6691180467605591
5,1253,0.8738526105880737,0.8736163973808289,0.7783405780792236,,,
6,1462,,,,0.8159062266349792,0.850088357925415,0.6972557902336121
6,1462,0.8801262378692627,0.8789886832237244,0.7882370352745056,,,
7,1671,,,,0.7873226404190063,0.8542225360870361,0.6717788577079773
7,1671,0.8847748637199402,0.8825377821922302,0.7956775426864624,,,
8,1880,,,,0.8377355337142944,0.8536038994789124,0.7252624034881592
8,1880,0.8876267671585083,0.8852862119674683,0.8002139925956726,,,
9,2089,,,,0.8058674931526184,0.8602124452590942,0.6905735731124878
9,2089,0.8894824981689453,0.886893630027771,0.8032437562942505,,,
10,2298,,,,0.8221115469932556,0.8603886365890503,0.7068302035331726
10,2298,0.8899508714675903,0.8877187371253967,0.8039093017578125,,,
