epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,138,,,,0.6795775294303894,0.7694612741470337,0.5458729863166809
0,138,0.7616531252861023,0.781488835811615,0.6197946071624756,,,
1,277,,,,0.7515832781791687,0.8008387684822083,0.6145966053009033
1,277,0.8073610663414001,0.8218033313751221,0.6802305579185486,,,
2,416,,,,0.8009122610092163,0.8179234862327576,0.6720560789108276
2,416,0.824009120464325,0.8368061184883118,0.7036765813827515,,,
3,555,,,,0.7679053544998169,0.8230287432670593,0.6383153796195984
3,555,0.8380310535430908,0.8469944596290588,0.7238854765892029,,,
4,694,,,,0.7673032283782959,0.8347129225730896,0.6449472904205322
4,694,0.8520706295967102,0.856326699256897,0.7448176741600037,,,
5,833,,,,0.8020155429840088,0.8366987109184265,0.6775203347206116
5,833,0.8590051531791687,0.862933337688446,0.7552549839019775,,,
6,972,,,,0.7760948538780212,0.8433911800384521,0.6568284034729004
6,972,0.8664342761039734,0.8684200644493103,0.7666623592376709,,,
7,1111,,,,0.7920045256614685,0.8439700603485107,0.670854389667511
7,1111,0.8722891807556152,0.8723568916320801,0.7758867144584656,,,
8,1250,,,,0.7908687591552734,0.8472532629966736,0.6716293096542358
8,1250,0.8752908706665039,0.8753842115402222,0.780519425868988,,,
9,1389,,,,0.8114699721336365,0.8520877957344055,0.6924920082092285
9,1389,0.877018392086029,0.8771172761917114,0.7831799387931824,,,
10,1528,,,,0.8024445176124573,0.8512875437736511,0.6840376257896423
10,1528,0.8806950449943542,0.8793635368347168,0.7891961336135864,,,
11,1667,,,,0.8169889450073242,0.850989818572998,0.6979259848594666
11,1667,0.8813507556915283,0.8796639442443848,0.7902566194534302,,,
